ZIP,date,forecast_rent
98405,2029-09-01,2256.9674261501837
98405,2029-10-01,2265.1699392887294
98405,2029-11-01,2273.3724524272748
98405,2029-12-01,2281.57496556582
98405,2030-01-01,2289.777478704366
98405,2030-02-01,2297.9799918429117
98405,2030-03-01,2306.182504981457
98405,2030-04-01,2314.3850181200023
98405,2030-05-01,2322.5875312585486
98405,2030-06-01,2330.790044397094
98405,2030-07-01,2338.992557535639
98406,2025-08-01,2001.5976069373655
98406,2025-09-01,2008.6469956661354
98406,2025-10-01,2015.696384394905
98406,2025-11-01,2022.7457731236746
98406,2025-12-01,2029.7951618524444
98406,2026-01-01,2036.8445505812138
98406,2026-02-01,2043.8939393099836
98406,2026-03-01,2050.9433280387534
98406,2026-04-01,2057.992716767523
98406,2026-05-01,2065.0421054962926
98406,2026-06-01,2072.091494225062
98406,2026-07-01,2079.140882953832
98406,2026-08-01,2086.1902716826016
98406,2026-09-01,2093.239660411371
98406,2026-10-01,2100.289049140141
98406,2026-11-01,2107.3384378689107
98406,2026-12-01,2114.38782659768
98406,2027-01-01,2121.43721532645
98406,2027-02-01,2128.4866040552197
98406,2027-03-01,2135.535992783989
98406,2027-04-01,2142.585381512759
98406,2027-05-01,2149.6347702415287
98406,2027-06-01,2156.684158970298
98406,2027-07-01,2163.733547699068
98406,2027-08-01,2170.7829364278377
98406,2027-09-01,2177.832325156607
98406,2027-10-01,2184.881713885377
98406,2027-11-01,2191.9311026141468
98406,2027-12-01,2198.980491342916
98406,2028-01-01,2206.029880071686
98406,2028-02-01,2213.079268800456
98406,2028-03-01,2220.128657529225
98406,2028-04-01,2227.178046257995
98406,2028-05-01,2234.227434986765
98406,2028-06-01,2241.276823715534
98406,2028-07-01,2248.326212444304
98406,2028-08-01,2255.375601173074
98406,2028-09-01,2262.424989901843
98406,2028-10-01,2269.474378630613
98406,2028-11-01,2276.523767359383
98406,2028-12-01,2283.5731560881522
98406,2029-01-01,2290.622544816922
98406,2029-02-01,2297.671933545692
98406,2029-03-01,2304.7213222744613
98406,2029-04-01,2311.7707110032306
98406,2029-05-01,2318.820099732001
98406,2029-06-01,2325.8694884607703
98406,2029-07-01,2332.9188771895397
98406,2029-08-01,2339.96826591831
98406,2029-09-01,2347.0176546470793
98406,2029-10-01,2354.0670433758487
98406,2029-11-01,2361.116432104619
98406,2029-12-01,2368.1658208333884
98406,2030-01-01,2375.2152095621577
98406,2030-02-01,2382.2645982909276
98406,2030-03-01,2389.3139870196974
98406,2030-04-01,2396.3633757484668
98406,2030-05-01,2403.4127644772366
98406,2030-06-01,2410.4621532060064
98406,2030-07-01,2417.511541934776
98407,2025-08-01,2001.0728401029496
98407,2025-09-01,2005.9005353839148
98407,2025-10-01,2010.72823066488
98407,2025-11-01,2015.555925945845
98407,2025-12-01,2020.3836212268102
98407,2026-01-01,2025.2113165077756
98407,2026-02-01,2030.0390117887407
98407,2026-03-01,2034.8667070697059
98407,2026-04-01,2039.6944023506712
98407,2026-05-01,2044.5220976316364
98407,2026-06-01,2049.3497929126015
98407,2026-07-01,2054.1774881935667
98407,2026-08-01,2059.005183474532
98407,2026-09-01,2063.832878755497
98407,2026-10-01,2068.660574036462
98407,2026-11-01,2073.4882693174272
98407,2026-12-01,2078.3159645983924
98407,2027-01-01,2083.143659879358
98407,2027-02-01,2087.971355160323
98407,2027-03-01,2092.7990504412883
98407,2027-04-01,2097.6267457222534
98407,2027-05-01,2102.4544410032186
98407,2027-06-01,2107.2821362841837
98407,2027-07-01,2112.109831565149
